model,question_id,exact_match,partial_match,bleu,rouge1,rouge2,rougeL,semantic_similarity,latency
RAG,1,False,0.0,0.0,0.0,0.0,0.0,0.13910946249961853,0.04704141616821289
RAG,2,False,0.0,0.0,0.0,0.0,0.0,0.29718902707099915,0.0
RAG,3,False,0.046511627906976744,0.003593400513595791,0.08695652173913045,0.0,0.04347826086956522,0.33979785442352295,0.0
RAG,4,True,1.0,0.1778279410038923,1.0,0.0,1.0,1.0,0.015909671783447266
RAG,5,True,1.0,0.316227766016838,1.0,1.0,1.0,1.0000001192092896,0.014061212539672852
RAG,6,False,0.0,0.0,0.15384615384615385,0.0,0.15384615384615385,0.5256679654121399,0.0
RAG,7,False,0.04347826086956522,0.003148013662646501,0.07692307692307693,0.0,0.038461538461538464,0.28637781739234924,0.0
RAG,8,False,0.0,0.0,0.0,0.0,0.0,0.04188723489642143,0.01311635971069336
RAG,9,True,1.0,0.316227766016838,1.0,1.0,1.0,1.0,0.013171195983886719
RAG,10,False,0.0,0.0,0.15384615384615385,0.0,0.15384615384615385,0.4792588949203491,0.0
RAG,11,False,0.046511627906976744,0.003593400513595791,0.0851063829787234,0.0,0.0425531914893617,0.3302282989025116,0.0
RAG,12,True,1.0,0.1778279410038923,1.0,0.0,1.0,1.0,0.012099742889404297
RAG,13,False,0.0,0.0,0.0,0.0,0.0,0.22336669266223907,0.014528512954711914
RAG,14,False,0.0,0.0,0.15384615384615385,0.0,0.15384615384615385,0.5888211131095886,0.0
RAG,15,False,0.039999999999999994,0.0027574366655649983,0.07142857142857142,0.0,0.03571428571428571,0.33465951681137085,0.0
RAG,16,False,0.08333333333333333,0.006032401726201458,0.05882352941176471,0.0,0.05882352941176471,0.1118842139840126,0.016045570373535156
RAG,17,False,0.0,0.0,0.0,0.0,0.0,0.20583917200565338,0.014453411102294922
RAG,18,False,0.0,0.0,0.15384615384615385,0.0,0.15384615384615385,0.510109543800354,0.0
RAG,19,False,0.047619047619047616,0.00366753025392797,0.08888888888888888,0.0,0.04444444444444444,0.3672820031642914,0.0
